lowest_gadm_level_entered,ADM_0,ADM1_name,ADM1_code,ADM2_name,ADM2_code,YEAR,END_YEAR,MONTH,END_MONTH,WEEK,END_WEEK,CASES,DEATHS,OCCUPATION,CUMULATIVE ,IMPORTED,NOTES,SOURCE1,SOURCE2,ProMed_NUM
0,SAU,,,,,2000,,9,,39,,41,10,,,,,"ProMed, Saudi Arabia & Yemen (05) ",,20001002.17
0,SAU,,,,,2000,,10,,40,,20,9,,,,,"ProMed, Saudi Arabia & Yemen (05) ",,20001002.17
1,SAU,Eastern Province,SAU.8_1,Ahsa,,2000,,10,,40,,2,NA,,,,,"ProMed, Saudi Arabia & Yemen (05) ",,20001002.17
0,SAU,,,,,2000,,10,,41,,130,16,,,,,Saudi Arabia & Yemen (06),,20001016.18
0,SAU,,,,,2000,,10,,42,,22,70,,,,,Saudi Arabia & Yemen (06),,20001016.18
1,SAU,Jizan,SAU.10_1,,,2000,,10,,42,,1,1,,,,,Saudi Arabia & Yemen (06),,20001016.18
0,SAU,,,,,2000,,10,,42,,32,5,,,,,"ProMed, Saudi Arabia & Yemen (07)",,20001022.18
0,SAU,,,,,2000,,10,,42,,NA,8,,,,,"ProMed, Saudi Arabia & Yemen (08)",,20001024.18
0,SAU,,,,,2000,,10,,43,,25,0,,,,,"ProMed, Saudi Arabia & Yemen (08)",,20001024.18
0,SAU,,,,,2000,,10,,43,,17,4,,,,,"ProMed, Saudi Arabia & Yemen (09)",,20001026.19
0,SAU,,,,,2000,2000,10,11,44,,58,3,,,,,"ProMed, Saudi Arabia & Yemen (10)",,20001031.19
1,SAU,Asir?,SAU.1_1,,,2000,,11,,45,,94,9,,,,,"ProMed, Saudi Arabia (12)",,20001109.2
1,SAU,Jizan,SAU.10_1,,,2000,,11,,47,,3,NA,,,,,"ProMed, Saudi Arabia (13)",,20001121.2
1,SAU,Asir,SAU.1_1,,,2000,,11,,47,,5,NA,,,,,"ProMed, Saudi Arabia (13)",,20001121.2
0,SAU,,,,,2000,,11,,47,,87,3,,,,,"ProMed, Saudi Arabia (13)",,20001121.2
0,SAU,,,,,2000,2000,11,11,47,48,32,1,,,,,"ProMed, Saudi Arabia (14)",,20001128.21
1,SAU,Asir?,SAU.1_1,,,2000,2000,11,12,48,,7,2,,,,,"ProMed, Saudi Arabia (15)",,20001130.21
0,SAU,,,,,2000,2000,12,12,49,50,57,3,,,,,"ProMed, Saudi Arabia (17)",,20001218.22
0,SAU,,,,,2000,2001,12,1,51,1,50,5,,,,,"ProMed, Saudi Arabia",,20010107.01
0,SAU,,,,,2001,,1,,2,,10,2,,,,,"ProMed, Saudi Arabia (02)",,20010111.01
0,SAU,,,,,2001,,1,,2,,4,3,,,,,"ProMed, Saudi Arabia & Yemen, Saudi Arabia (04)",,"20010115.0116, 20010116.0126"
0,SAU,,,,,2001,2001,1,3,4,11,21,5,,,,,"ProMed, Saudi Arabia (06)",,20010321.06
1,SAU,Asir,SAU.1_1,,,2001,,2,3,8,11,2,,,,,,"ProMed, Saudi Arabia (06)",,20010321.06
1,SAU,Makkah,SAU.11_1,,,2001,,2,3,8,11,2,,,,,,"ProMed, Saudi Arabia (06)",,20010321.06
1,SDN,"White Nile, Sennar, Al-Jazira","SDN.18_1,SDN.13_1,SDN.1_1",,,2007,,10,,42,,125,60,,,,Data given by reports seems suspect (inconsistent from one report to the next),"ProMed, Sudan",,"20071103.3570, 20071106.3611"
1,SDN,"White Nile, Sennar, Al-Jazira","SDN.18_1,SDN.13_1,SDN.1_1",,,2007,2007,10,11,43,,103,24,,,,Data given by reports seems suspect (inconsistent from one report to the next),"ProMed, Sudan (03)",,20071109.36
0,SDN,,,,,2007,,11,,44,,22,0,,,,Data given by reports seems suspect (inconsistent from one report to the next),"Promed, Sudan (05)",,20071111.37
1,SDN,"White Nile, Sennar, Al-Jazira, Khartoum","SDN.18_1, SDN.13_1, SDN.1_1, SDN.7_1",,,2007,,11,,44,46,89,70,,,,subtracted row above from total,"ProMed, Sudan (09): WHO",,20071122.38
1,SDN,"White Nile, Sennar, Al-Jazira","SDN.18_1,SDN.13_1,SDN.1_1",,,2007,,11,,45,,79,12,,,,Data given by reports seems suspect (inconsistent from one report to the next),"ProMed, Sudan - (06): WHO",,20071115.37
1,SDN,"White Nile, Sinnar, Al-Jazira","SDN.18_1,SDN.13_1,SDN.1_1",,,2007,,11,,46,,33,0,,,,Data given by reports seems suspect (inconsistent from one report to the next),"ProMed, Sudan (08)",,20071121.38
0,SDN,"White Nile, Sinnar,  Al-Jazira","SDN.18_1,SDN.13_1,SDN.1_1",,,2007,2007,11,12,47,51,114,0,,,,,"ProMed, Sudan (10) ",,20071220.41
1,SDN,"Gazeera, Kassala, Khartoum, River Nile, Sinnar, and White Nile","SDN.1_1, SDN.6_1,  SDN.7_1, SDN.12_1, SDN.13_1, SDN.18_1",,,2007,2008,12,1,52,1,133,56,,,,Data given by reports seems suspect (inconsistent from one report to the next),"ProMed, Sudan (11): WHO",,20080122.03
0,SDN,,,,,2008,,,,,,49,8,,,,,ProMed,,20191120.68
1,SDN,White Nile,SDN.18_1,,,2019,2019,9,11,38,46,1,0,,,,,https://reliefweb.int/report/sudan/rift-valley-fever-republic-sudan-disease-outbreak-news-14-november-2019,"ProMed, SUDAN (07): (RED SEA, RIVER NILE) HUMAN, LIVESTOCK, WHO",20191120.68
1,SDN,River Nile,SDN.12_1,,,2019,2019,9,11,38,46,168,6,,,,,https://reliefweb.int/report/sudan/rift-valley-fever-republic-sudan-disease-outbreak-news-14-november-2019,"ProMed, SUDAN (07): (RED SEA, RIVER NILE) HUMAN, LIVESTOCK, WHO",20191120.68
